nearest_places_id,post_id,place_id
200,50,ChIJa-K8mf6ipBIRY8wAB3EeASc
201,51,ChIJNbGKpPyipBIRWOE2AiC82hc
202,51,ChIJeYwrA_uipBIRtLLknGLSRQA
203,51,ChIJC6CEtf2ipBIRkFQaF95uL1Q
204,51,ChIJH1jdYvmipBIRlOn_x70XWx0
205,52,ChIJM9xjHR2jpBIRtKSqpTXYsOs
206,52,ChIJpy2NoSGjpBIRoU68e_1AEoI
207,52,ChIJ7R4q5M-jpBIRmp-8bSW0s6A
208,52,ChIJ-fL3djWjpBIRxYwgD2lXsgw
209,53,ChIJc0WMe_GipBIRJiU_pUq_bRc
210,53,ChIJWXpb8PeipBIR9qHIBx1PV4U
211,53,ChIJb7gUzfmipBIRIoiMb8GScM0
212,53,ChIJDQeJ-PiipBIRRKhLu4wgf-U
213,54,ChIJ1eGKmZOipBIRah43T2Kjn8Q
214,54,ChIJD68YoJWipBIRWzQhzWcsALI
215,54,ChIJKf2c45mipBIRVnRr1lyRhRo
216,54,ChIJ-fL3djWjpBIRxYwgD2lXsgw
217,55,ChIJzyCpuvOipBIR81q13eFJsyw
218,55,ChIJWxm_GPOipBIRYYt8fBKUWRI
219,55,ChIJMSlpOfGipBIRf5cyHKdpsHg
220,55,ChIJ4aTqxfaipBIRi9Kz759j6GI
221,56,ChIJdWd8mMSjpBIRlU7wI7x356s
222,56,ChIJbf9sA-yipBIRBsaWQtiGMLs
223,56,ChIJD68YoJWipBIRWzQhzWcsALI
224,56,ChIJ1eGKmZOipBIRah43T2Kjn8Q
225,57,ChIJ4eD9ztyipBIR_g1BtyluWPM
226,57,ChIJ12d3ZlmYpBIRStDXELkkdJE
227,57,ChIJdWd8mMSjpBIRlU7wI7x356s
228,57,ChIJZSW6S-eYpBIRpJ1QG2znF9E
229,58,ChIJzyCpuvOipBIR81q13eFJsyw
230,58,ChIJWxm_GPOipBIRYYt8fBKUWRI
231,58,ChIJMSlpOfGipBIRf5cyHKdpsHg
232,58,ChIJ4aTqxfaipBIRi9Kz759j6GI
233,59,ChIJzyCpuvOipBIR81q13eFJsyw
234,59,ChIJWxm_GPOipBIRYYt8fBKUWRI
235,59,ChIJMSlpOfGipBIRf5cyHKdpsHg
236,59,ChIJ4aTqxfaipBIRi9Kz759j6GI
237,60,ChIJzyCpuvOipBIR81q13eFJsyw
238,60,ChIJWxm_GPOipBIRYYt8fBKUWRI
239,60,ChIJMSlpOfGipBIRf5cyHKdpsHg
240,60,ChIJ4aTqxfaipBIRi9Kz759j6GI
241,61,ChIJzyCpuvOipBIR81q13eFJsyw
242,61,ChIJWxm_GPOipBIRYYt8fBKUWRI
243,61,ChIJMSlpOfGipBIRf5cyHKdpsHg
244,61,ChIJ4aTqxfaipBIRi9Kz759j6GI
245,62,ChIJzyCpuvOipBIR81q13eFJsyw
246,62,ChIJWxm_GPOipBIRYYt8fBKUWRI
247,62,ChIJMSlpOfGipBIRf5cyHKdpsHg
248,62,ChIJ4aTqxfaipBIRi9Kz759j6GI
249,63,ChIJa5R8WNOjpBIRCA4ZjLwkQQU
250,63,ChIJ-fL3djWjpBIRxYwgD2lXsgw
251,63,ChIJGVXrGlWZpBIR62E9FHV7VTA
252,63,ChIJKf2c45mipBIRVnRr1lyRhRo
253,64,ChIJ0V6MrPWipBIRKnssXv0o_Y4
254,64,ChIJLcC0-PSipBIRdHiFCj_ewdY
255,64,ChIJN4zPLvSipBIRnANNEEwB15Q
256,64,ChIJfx2I8vaipBIR2bIdtf-roQE
257,65,ChIJMStor32ipBIRRP9xCurvX40
258,65,ChIJDwChfMujpBIRLwxQ13Y-1Uw
259,65,ChIJLcelLmmipBIRqmlJrcEfypY
260,65,ChIJJVQ6VneipBIRIV6uqvMfBI0
261,66,ChIJTSzGu4WipBIRkznre9Zwis0
262,66,ChIJiw6Np4eipBIRx85T7fm-Dr0
263,66,ChIJpy2NoSGjpBIRoU68e_1AEoI
264,66,ChIJM9xjHR2jpBIRtKSqpTXYsOs
265,67,ChIJD68YoJWipBIRWzQhzWcsALI
266,67,ChIJdWd8mMSjpBIRlU7wI7x356s
267,67,ChIJPxzK0pmipBIR6RILH9uL_zo
268,67,ChIJ1eGKmZOipBIRah43T2Kjn8Q
269,68,ChIJJ2JbaneipBIRpVQ6RTJSwLA
270,68,ChIJJVQ6VneipBIRIV6uqvMfBI0
271,68,ChIJDwChfMujpBIRLwxQ13Y-1Uw
272,68,ChIJm0a9ZICipBIR7ZTc9Z5nhRs
273,69,ChIJJ2JbaneipBIRpVQ6RTJSwLA
274,69,ChIJJVQ6VneipBIRIV6uqvMfBI0
275,69,ChIJDwChfMujpBIRLwxQ13Y-1Uw
276,69,ChIJm0a9ZICipBIR7ZTc9Z5nhRs
277,70,ChIJJ2JbaneipBIRpVQ6RTJSwLA
278,70,ChIJJVQ6VneipBIRIV6uqvMfBI0
279,70,ChIJDwChfMujpBIRLwxQ13Y-1Uw
280,70,ChIJm0a9ZICipBIR7ZTc9Z5nhRs
281,71,ChIJJ2JbaneipBIRpVQ6RTJSwLA
282,71,ChIJJVQ6VneipBIRIV6uqvMfBI0
283,71,ChIJDwChfMujpBIRLwxQ13Y-1Uw
284,71,ChIJm0a9ZICipBIR7ZTc9Z5nhRs
285,72,ChIJJ2JbaneipBIRpVQ6RTJSwLA
286,72,ChIJJVQ6VneipBIRIV6uqvMfBI0
287,72,ChIJDwChfMujpBIRLwxQ13Y-1Uw
288,72,ChIJm0a9ZICipBIR7ZTc9Z5nhRs
289,73,ChIJN4zPLvSipBIRnANNEEwB15Q
290,73,ChIJfx2I8vaipBIR2bIdtf-roQE
291,73,ChIJLcC0-PSipBIRdHiFCj_ewdY
292,73,ChIJ0V6MrPWipBIRKnssXv0o_Y4
293,74,ChIJN4zPLvSipBIRnANNEEwB15Q
294,74,ChIJfx2I8vaipBIR2bIdtf-roQE
295,74,ChIJLcC0-PSipBIRdHiFCj_ewdY
296,74,ChIJ0V6MrPWipBIRKnssXv0o_Y4
297,75,ChIJN4zPLvSipBIRnANNEEwB15Q
298,75,ChIJfx2I8vaipBIR2bIdtf-roQE
299,75,ChIJLcC0-PSipBIRdHiFCj_ewdY
300,75,ChIJ0V6MrPWipBIRKnssXv0o_Y4
301,76,ChIJN4zPLvSipBIRnANNEEwB15Q
